,tokenization time,inference time,total inf time
4002,0.00039492547512054443,0.0051781535148620605,220.05283203721046
4003,0.0003690943121910095,0.00501762330532074,220.05283203721046
4004,0.00038173794746398926,0.005313396453857422,220.05283203721046
4005,0.0011180564761161804,0.015117473900318146,220.05283203721046
4006,0.001254454255104065,0.01981760561466217,220.05283203721046
4007,0.0013962015509605408,0.021913357079029083,220.05283203721046
4008,0.0015458837151527405,0.027206189930438995,220.05283203721046
4009,0.001618906855583191,0.026660658419132233,220.05283203721046
4010,0.0018459111452102661,0.03084956854581833,220.05283203721046
4011,0.0019655823707580566,0.035121358931064606,220.05283203721046
4012,0.0021955370903015137,0.03995096683502197,220.05283203721046
4013,0.002294570207595825,0.037847623229026794,220.05283203721046
4014,0.002328842878341675,0.03900764137506485,220.05283203721046
4015,0.0024882182478904724,0.04191873222589493,220.05283203721046
4016,0.002805083990097046,0.0482981875538826,220.05283203721046
4017,0.002825140953063965,0.04888252913951874,220.05283203721046
4018,0.003164149820804596,0.05208662897348404,220.05283203721046
4019,0.0031889155507087708,0.05369320511817932,220.05283203721046
4020,0.0034819990396499634,0.059972986578941345,220.05283203721046
4021,0.00368674099445343,0.06872840225696564,220.05283203721046
4022,0.003969825804233551,0.07019468396902084,220.05283203721046
4023,0.0045680031180381775,0.07621454447507858,220.05283203721046
4024,0.00528302788734436,0.08839584141969681,220.05283203721046
4025,0.0032477006316184998,0.08967617154121399,220.05283203721046
4026,0.00040055811405181885,0.0061256662011146545,220.05283203721046
4027,0.00038032233715057373,0.004908166825771332,220.05283203721046
4028,0.0003905445337295532,0.005087696015834808,220.05283203721046
4029,0.00036947429180145264,0.004941336810588837,220.05283203721046
4030,0.0005495622754096985,0.0096607506275177,220.05283203721046
4031,0.0011264905333518982,0.016903162002563477,220.05283203721046
4032,0.001277036964893341,0.020124204456806183,220.05283203721046
4033,0.0014602765440940857,0.025976218283176422,220.05283203721046
4034,0.0016629323363304138,0.027382172644138336,220.05283203721046
4035,0.0017725750803947449,0.0314180925488472,220.05283203721046
4036,0.0019698962569236755,0.03461993485689163,220.05283203721046
4037,0.0020930394530296326,0.036097049713134766,220.05283203721046
4038,0.002385050058364868,0.04010467976331711,220.05283203721046
4039,0.0025266334414482117,0.041784852743148804,220.05283203721046
